gene_name	panel_count	gene_synonyms	gene_description
MPL	29	C-MPL|CD110|MPLV|THCYT2|TPOR	MPL proto-oncogene, thrombopoietin receptor
ERBB4	29	ALS19|HER4|p180erbB4	erb-b2 receptor tyrosine kinase 4
CTNNB1	29	CTNNB|MRD19|armadillo	catenin beta 1
GNA11	27	FBH|FBH2|FHH2|GNA-11|HHC2|HYPOC2	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)
SRC	26	ASV|SRC1|c-SRC|p60-Src	SRC proto-oncogene, non-receptor tyrosine kinase
SMARCB1	26	BAF47|INI1|MRD15|PPP1R144|RDT|RTPS1|SNF5|SNF5L1|SWNTS1|Sfh1p|Snr1|hSNFS	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1
CDK4	25	CMM3|PSK-J3	cyclin-dependent kinase 4
HNF1A	25	HNF-1A|HNF1|IDDM20|LFB1|MODY3|TCF-1|TCF1	HNF1 homeobox A
BRCA2	23	BRCC2|BROVCA2|FACD|FAD|FAD1|FANCD|FANCD1|GLM3|PNCA2|XRCC11	breast cancer 2
NF1	22	NFNS|VRNF|WSS	neurofibromin 1
MAP2K1	22	CFC3|MAPKK1|MEK1|MKK1|PRKMK1	mitogen-activated protein kinase kinase 1
BRCA1	22	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	breast cancer 1
WT1	22	AWT1|EWS-WT1|GUD|NPHS4|WAGR|WIT-2|WT33	Wilms tumor 1
MSH2	21	COCA1|FCC1|HNPCC|HNPCC1|LCFS2	mutS homolog 2
MYC	21	MRTL|MYCC|bHLHe39|c-Myc	v-myc avian myelocytomatosis viral oncogene homolog
ROS1	21	MCF3|ROS|c-ros-1	ROS proto-oncogene 1 , receptor tyrosine kinase
PTCH1	20	BCNS|HPE7|NBCCS|PTC|PTC1|PTCH|PTCH11	patched 1
MSH6	20	GTBP|GTMBP|HNPCC5|HSAP|p160	mutS homolog 6
CCND1	19	BCL1|D11S287E|PRAD1|U21B31	cyclin D1
NTRK1	18	MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA	neurotrophic tyrosine kinase, receptor, type 1
PMS2	18	HNPCC4|MLH4|PMS2CL|PMSL2	PMS1 homolog 2, mismatch repair system component
DNMT3A	18	DNMT3A2|M.HsaIIIA|TBRS	DNA (cytosine-5-)-methyltransferase 3 alpha
TSC1	18	LAM|TSC	tuberous sclerosis 1
RUNX1	18	AML1|AML1-EVI-1|AMLCR1|CBF2alpha|CBFA2|EVI-1|PEBP2aB|PEBP2alpha	runt-related transcription factor 1
GATA2	18	DCML|IMD21|MONOMAC|NFE1B	GATA binding protein 2
CBL	18	C-CBL|CBL2|FRA11B|NSLL|RNF55	Cbl proto-oncogene, E3 ubiquitin protein ligase
TET2	17	KIAA1546|MDS	tet methylcytosine dioxygenase 2
CHEK2	17	CDS1|CHK2|HuCds1|LFS2|PP1425|RAD53|hCds1	checkpoint kinase 2
DDR2	17	MIG20a|NTRKR3|TKT|TYRO10	discoidin domain receptor tyrosine kinase 2
BRIP1	17	BACH1|FANCJ|OF	BRCA1 interacting protein C-terminal helicase 1
PALB2	17	FANCN|PNCA3	partner and localizer of BRCA2
ESR1	17	ER|ESR|ESRA|ESTRR|Era|NR3A1	estrogen receptor 1
TSC2	17	LAM|PPP1R160|TSC4	tuberous sclerosis 2
ASXL1	17	BOPS|MDS	additional sex combs like 1, transcriptional regulator
MUTYH	17	MYH	mutY DNA glycosylase
CEBPA	17	C/EBP-alpha|CEBP	CCAAT/enhancer binding protein (C/EBP), alpha
PDGFRB	16	CD140B|IBGC4|IMF1|JTK12|KOGS|PDGFR|PDGFR-1|PDGFR1|PENTT	platelet-derived growth factor receptor, beta polypeptide
CDK6	16	MCPH12|PLSTIRE	cyclin-dependent kinase 6
SF3B1	16	Hsh155|MDS|PRP10|PRPF10|SAP155|SF3b155	splicing factor 3b, subunit 1, 155kDa
ERBB3	16	ErbB-3|HER3|LCCS2|MDA-BF-1|c-erbB-3|c-erbB3|erbB3-S|p180-ErbB3|p45-sErbB3|p85-sErbB3	erb-b2 receptor tyrosine kinase 3
AR	16	AIS|AR8|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	androgen receptor
MTOR	16	FRAP|FRAP1|FRAP2|RAFT1|RAPT1|SKS	mechanistic target of rapamycin (serine/threonine kinase)
KMT2A	16	ALL-1|CXXC7|HRX|HTRX1|MLL|MLL-AF9|MLL/GAS7|MLL1|MLL1A|TET1-MLL|TRX1|WDSTS	lysine (K)-specific methyltransferase 2A
BAP1	15	HUCEP-13|UCHL2|hucep-6	BRCA1 associated protein 1
BCL2	15	Bcl-2|PPP1R50	B-cell CLL/lymphoma 2
AKT2	15	HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA	v-akt murine thymoma viral oncogene homolog 2
GATA1	15	ERYF1|GATA-1|GF-1|GF1|NF-E1|NFE1|XLANP|XLTDA|XLTT	GATA binding protein 1 (globin transcription factor 1)
CCNE1	15	CCNE|pCCNE1	cyclin E1
MAP2K2	15	CFC4|MAPKK2|MEK2|MKK2|PRKMK2	mitogen-activated protein kinase kinase 2
PIK3R1	15	AGM7|GRB1|IMD36|p85|p85-ALPHA	phosphoinositide-3-kinase regulatory subunit 1
ETV6	15	TEL|TEL/ABL|THC5	ets variant 6
IKZF1	15	Hs.54452|IK1|IKAROS|LYF1|LyF-1|PPP1R92|PRO0758|ZNFN1A1	IKAROS family zinc finger 1
MYCN	14	MODED|N-myc|NMYC|ODED|bHLHe37	v-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog
PAX5	14	ALL3|BSAP	paired box 5
JAK1	14	JAK1A|JAK1B|JTK3	Janus kinase 1
FGFR4	14	CD334|JTK2|TKF	fibroblast growth factor receptor 4
MYD88	14	MYD88D	myeloid differentiation primary response 88
MEN1	14	MEAI|SCG2	menin 1
AURKA	14	AIK|ARK1|AURA|AURORA2|BTAK|PPP1R47|STK15|STK6|STK7	aurora kinase A
KDM6A	14	KABUK2|UTX|bA386N14.2	lysine (K)-specific demethylase 6A
RAF1	14	CMD1NN|CRAF|NS5|Raf-1|c-Raf	Raf-1 proto-oncogene, serine/threonine kinase
NTRK3	13	GP145-TrkC|TRKC|gp145(trkC)	neurotrophic tyrosine kinase, receptor, type 3
NBN	13	AT-V1|AT-V2|ATV|NBS|NBS1|P95	nibrin
SDHB	13	CWS2|IP|PGL4|SDH|SDH1|SDH2|SDHIP	succinate dehydrogenase complex subunit B, iron sulfur (Ip)
CREBBP	13	CBP|KAT3A|RSTS	CREB binding protein
NF2	13	ACN|BANF|SCH	neurofibromin 2 (merlin)
U2AF1	13	FP793|RN|RNU2AF1|U2AF35|U2AFBP	U2 small nuclear RNA auxiliary factor 1
ATRX	13	ATR2|JMS|MRX52|MRXHF1|RAD54|RAD54L|SFM1|SHS|XH2|XNP|ZNF-HX	alpha thalassemia/mental retardation syndrome X-linked
TERT	13	CMM9|DKCA2|DKCB4|EST2|PFBMFT1|TCS1|TP2|TRT|hEST2|hTRT	telomerase reverse transcriptase
BCL6	13	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	B-cell CLL/lymphoma 6
GATA3	13	HDR|HDRS	GATA binding protein 3
SUFU	13	PRO1280|SUFUH|SUFUXL	suppressor of fused homolog (Drosophila)
FLCN	12	BHD|FLCL	folliculin
IGF1R	12	CD221|IGFIR|IGFR|JTK13	insulin like growth factor 1 receptor
SDHD	12	CBT1|CII-4|CWS3|PGL|PGL1|QPs3|SDH4|cybS	succinate dehydrogenase complex subunit D, integral membrane protein
BMPR1A	12	10q23del|ACVRLK3|ALK3|CD292|SKR5	bone morphogenetic protein receptor type IA
AKT3	12	MPPH|MPPH2|PKB-GAMMA|PKBG|PRKBG|RAC-PK-gamma|RAC-gamma|STK-2	v-akt murine thymoma viral oncogene homolog 3
FH	12	FMRD|HLRCC|LRCC|MCL|MCUL1	fumarate hydratase
EP300	12	KAT3B|RSTS2|p300	E1A binding protein p300
NOTCH2	12	AGS2|HJCYS|hN2	notch 2
MDM2	12	ACTFS|HDMX|hdm2	MDM2 proto-oncogene, E3 ubiquitin protein ligase
PRKAR1A	11	ACRDYS1|ADOHR|CAR|CNC|CNC1|PKR1|PPNAD1|PRKAR1|TSE1	protein kinase, cAMP-dependent, regulatory subunit type I alpha
MYCL	11	L-Myc|LMYC|MYCL1|bHLHe38	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog
FOXL2	11	BPES|BPES1|PFRK|PINTO|POF3	forkhead box L2
SRSF2	11	PR264|SC-35|SC35|SFRS2|SFRS2A|SRp30b	serine/arginine-rich splicing factor 2
SDHC	11	CYB560|CYBL|PGL3|QPS1|SDH3	succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa
EPCAM	11	DIAR5|EGP-2|EGP314|EGP40|ESA|HNPCC8|KS1/4|KSA|M4S1|MIC18|MK-1|TACSTD1|TROP1	epithelial cell adhesion molecule
IL7R	11	CD127|CDW127|IL-7R-alpha|IL7RA|ILRA	interleukin 7 receptor
RARA	11	NR1B1|RAR	retinoic acid receptor, alpha
CDKN2B	11	CDK4I|INK4B|MTS2|P15|TP15|p15INK4b	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)
FLT4	11	FLT-4|FLT41|LMPH1A|PCL|VEGFR-3|VEGFR3	fms-related tyrosine kinase 4
FLT1	11	FLT|FLT-1|VEGFR-1|VEGFR1	fms-related tyrosine kinase 1
FANCC	11	FA3|FAC|FACC	Fanconi anemia complementation group C
FANCA	11	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	Fanconi anemia complementation group A
BCOR	11	ANOP2|MAA2|MCOPS2	BCL6 corepressor
BLM	11	BS|RECQ2|RECQL2|RECQL3	Bloom syndrome, RecQ helicase-like
RAD51C	11	BROVCA3|FANCO|R51H3|RAD51L2	RAD51 paralog C
SMARCA4	11	BAF190|BAF190A|BRG1|MRD16|RTPS2|SNF2|SNF2L4|SNF2LB|SWI2|hSNF2b	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
AXL	11	ARK|JTK11|Tyro7|UFO	AXL receptor tyrosine kinase
ARID1A	11	B120|BAF250|BAF250a|BM029|C1orf4|ELD|MRD14|OSA1|P270|SMARCF1|hELD|hOSA1	AT-rich interaction domain 1A
ERCC2	11	COFS2|EM9|TFIIH|TTD|TTD1|XPD	excision repair cross-complementation group 2
STAG2	11	SA-2|SA2|SCC3B|bA517O1.1	stromal antigen 2
CIC	11	-	capicua transcriptional repressor
TOP1	10	TOPI	topoisomerase (DNA) I
PHOX2B	10	NBLST2|NBPhox|PMX2B	paired-like homeobox 2b
BTK	10	AGMX1|AT|ATK|BPK|IMD1|PSCTK1|XLA	Bruton agammaglobulinemia tyrosine kinase
TGFBR2	10	AAT3|FAA3|LDS1B|LDS2|LDS2B|MFS2|RIIC|TAAD2|TGFR-2|TGFbeta-RII	transforming growth factor beta receptor II
CDC73	10	C1orf28|FIHP|HPTJT|HRPT1|HRPT2|HYX	cell division cycle 73
PBRM1	10	BAF180|PB1	polybromo 1
SETBP1	10	MRD29|SEB	SET binding protein 1
ZRSR2	10	U2AF1-RS2|U2AF1L2|U2AF1RS2|URP|ZC3H22	zinc finger (CCCH type), RNA binding motif and serine/arginine rich 2
MRE11A	10	ATLD|HNGS1|MRE11|MRE11B	MRE11 homolog A, double strand break repair nuclease
PHF6	10	BFLS|BORJ|CENP-31	PHD finger protein 6
ETV1	10	ER81	ets variant 1
NFE2L2	10	HEBP1|NRF2	nuclear factor, erythroid 2 like 2
MAP2K4	10	JNKK|JNKK1|MAPKK4|MEK4|MKK4|PRKMK4|SAPKK-1|SAPKK1|SEK1|SERK1|SKK1	mitogen-activated protein kinase kinase 4
PIK3R2	10	MPPH|MPPH1|P85B|p85|p85-BETA	phosphoinositide-3-kinase regulatory subunit 2
DICER1	10	DCR1|Dicer|Dicer1e|HERNA|K12H4.8-LIKE|MNG1|RMSE2	dicer 1, ribonuclease type III
BCR	9	ALL|BCR1|CML|D22S11|D22S662|PHL	breakpoint cluster region
SDHA	9	CMD1GG|FP|PGL5|SDH1|SDH2|SDHF	succinate dehydrogenase complex subunit A, flavoprotein (Fp)
CSF3R	9	CD114|GCSFR	colony stimulating factor 3 receptor
ERG	9	erg-3|p55	v-ets avian erythroblastosis virus E26 oncogene homolog
CDK12	9	CRK7|CRKR|CRKRS	cyclin-dependent kinase 12
BARD1	9	-	BRCA1 associated RING domain 1
FANCG	9	FAG|XRCC9	Fanconi anemia complementation group G
MCL1	9	BCL2L3|EAT|MCL1-ES|MCL1L|MCL1S|Mcl-1|TM|bcl2-L-3|mcl1/EAT	myeloid cell leukemia 1
TSHR	9	CHNG1|LGR3|hTSHR-I	thyroid stimulating hormone receptor
SETD2	9	HBP231|HIF-1|HIP-1|HSPC069|HYPB|KMT3A|SET2|p231HBP	SET domain containing 2
DAXX	9	BING2|DAP6|EAP1	death-domain associated protein
TNFAIP3	9	A20|OTUD7C|TNFA1P2	TNF alpha induced protein 3
MAPK1	9	ERK|ERK-2|ERK2|ERT1|MAPK2|P42MAPK|PRKM1|PRKM2|p38|p40|p41|p41mapk|p42-MAPK	mitogen-activated protein kinase 1
PPP2R1A	9	MRD36|PP2A-Aalpha|PP2AAALPHA|PR65A	protein phosphatase 2 regulatory subunit A, alpha
CARD11	9	BENTA|BIMP3|CARMA1|IMD11|PPBL	caspase recruitment domain family member 11
PARP1	9	ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PPOL|pADPRT-1	poly(ADP-ribose) polymerase 1
NKX2-1	9	BCH|BHC|NK-2|NKX2.1|NKX2A|T/EBP|TEBP|TITF1|TTF-1|TTF1	NK2 homeobox 1
CCND2	9	KIAK0002|MPPH3	cyclin D2
MITF	9	CMM8|MI|WS2|WS2A|bHLHe32	microphthalmia-associated transcription factor
FANCD2	9	FA-D2|FA4|FACD|FAD|FAD2|FANCD	Fanconi anemia complementation group D2
RAD50	9	NBSLD|RAD502|hRad50	RAD50 homolog, double strand break repair protein
ERCC1	9	COFS4|RAD10|UV20	excision repair cross-complementation group 1
ERCC5	9	COFS3|ERCC5-201|ERCM2|UVDR|XPG|XPGC	excision repair cross-complementation group 5
MDM4	9	HDMX|MDMX|MRP1	MDM4, p53 regulator
KMT2D	9	AAD10|ALR|CAGL114|KABUK1|KMS|MLL2|MLL4|TNRC21	lysine (K)-specific methyltransferase 2D
XPC	8	RAD4|XP3|XPCC|p125	xeroderma pigmentosum, complementation group C
SMAD2	8	JV18|JV18-1|MADH2|MADR2|hMAD-2|hSMAD2	SMAD family member 2
FAS	8	ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6	Fas cell surface death receptor
TCF3	8	E2A|E47|ITF1|TCF-3|VDIR|bHLHb21	transcription factor 3
RAC1	8	MIG5|Rac-1|TC-25|p21-Rac1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)
CHEK1	8	CHK1	checkpoint kinase 1
FOXO1	8	FKH1|FKHR|FOXO1A	forkhead box O1
FANCF	8	FAF	Fanconi anemia complementation group F
CDK8	8	K35	cyclin-dependent kinase 8
SYK	8	p72-Syk	spleen tyrosine kinase
BIRC3	8	AIP1|API2|CIAP2|HAIP1|HIAP1|MALT2|MIHC|RNF49|c-IAP2	baculoviral IAP repeat containing 3
CYLD	8	BRSS|CDMT|CYLD1|CYLDI|EAC|MFT|MFT1|SBS|TEM|USPL2	cylindromatosis (turban tumor syndrome)
AURKB	8	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	aurora kinase B
JUN	8	AP-1|AP1|c-Jun	jun proto-oncogene
CD274	8	B7-H|B7H1|PD-L1|PDCD1L1|PDCD1LG1|PDL1	CD274 molecule
RAD51D	8	BROVCA4|R51H3|RAD51L3|TRAD	RAD51 paralog D
RRM1	8	R1|RIR1|RR1	ribonucleotide reductase M1
PRDM1	8	BLIMP1|PRDI-BF1	PR domain containing 1, with ZNF domain
ERCC3	8	BTF2|GTF2H|RAD25|TFIIH|TTD2|XPB	excision repair cross-complementation group 3
ERCC4	8	ERCC11|FANCQ|RAD1|XFEPS|XPF	excision repair cross-complementation group 4
TNFRSF14	8	ATAR|CD270|HVEA|HVEM|LIGHTR|TR2	tumor necrosis factor receptor superfamily, member 14
SDHAF2	8	C11orf79|PGL2|SDH5	succinate dehydrogenase complex assembly factor 2
BCL2L1	8	BCL-XL/S|BCL2L|BCLX|Bcl-X|PPP1R52	BCL2-like 1
ETV4	8	E1A-F|E1AF|PEA3|PEAS3	ets variant 4
PIK3CB	7	P110BETA|PI3K|PI3KBETA|PIK3C1	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta
PIK3CG	7	PI3CG|PI3K|PI3Kgamma|PIK3|p110gamma|p120-PI3K	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
CBLB	7	Cbl-b|Nbla00127|RNF56	Cbl proto-oncogene B, E3 ubiquitin protein ligase
XPO1	7	CRM1|emb|exp1	exportin 1
DPYD	7	DHP|DHPDHASE|DPD	dihydropyrimidine dehydrogenase
CALR	7	CRT|HEL-S-99n|RO|SSA|cC1qR	calreticulin
MAX	7	bHLHd4	MYC associated factor X
ARID2	7	BAF200|p200	AT-rich interaction domain 2
RICTOR	7	AVO3|PIA|hAVO3	RPTOR independent companion of MTOR, complex 2
CD79B	7	AGM6|B29|IGB	CD79b molecule
MED12	7	ARC240|CAGH45|FGS1|HOPA|MED12S|OHDOX|OKS|OPA1|TNRC11|TRAP230	mediator complex subunit 12
NTRK2	7	GP145-TrkB|TRKB|trk-B	neurotrophic tyrosine kinase, receptor, type 2
SOCS1	7	CIS1|CISH1|JAB|SOCS-1|SSI-1|SSI1|TIP3	suppressor of cytokine signaling 1
BUB1B	7	BUB1beta|BUBR1|Bub1A|MAD3L|MVA1|SSK1|hBUBR1	BUB1B, mitotic checkpoint serine/threonine kinase
PPARG	7	CIMT1|GLM1|NR1C3|PPARG1|PPARG2|PPARgamma	peroxisome proliferator-activated receptor gamma
DDB2	7	DDBB|UV-DDB2|XPE	damage-specific DNA binding protein 2
LMO1	7	RBTN1|RHOM1|TTG1	LIM domain only 1
CDKN2C	7	INK4C|p18|p18-INK4C	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)
FANCE	7	FACE|FAE	Fanconi anemia complementation group E
RUNX1T1	7	AML1-MTG8|AML1T1|CBFA2T1|CDR|ETO|MTG8|ZMYND2	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)
ATR	7	FCTCS|FRP1|MEC1|SCKL|SCKL1	ATR serine/threonine kinase
AMER1	7	FAM123B|OSCS|WTX	APC membrane recruitment protein 1
TFE3	7	RCCP2|RCCX1|TFEA|bHLHe33	transcription factor binding to IGHM enhancer 3
PTPRD	7	HPTP|HPTPD|HPTPDELTA|PTPD|RPTPDELTA	protein tyrosine phosphatase, receptor type, D
NSD1	7	ARA267|KMT3B|SOTOS|SOTOS1|STO	nuclear receptor binding SET domain protein 1
KEAP1	7	INrf2|KLHL19	kelch like ECH associated protein 1
MYB	7	Cmyb|c-myb|c-myb_CDS|efg	v-myb avian myeloblastosis viral oncogene homolog
EPHA3	7	EK4|ETK|ETK1|HEK|HEK4|TYRO4	EPH receptor A3
PIM1	7	PIM	Pim-1 proto-oncogene, serine/threonine kinase
POLE	7	CRCS12|FILS|POLE1	polymerase (DNA directed), epsilon, catalytic subunit
ARAF	7	A-RAF|ARAF1|PKS2|RAFA1	A-Raf proto-oncogene, serine/threonine kinase
EXT2	7	SOTV	exostosin glycosyltransferase 2
EXT1	7	EXT|LGCR|LGS|TRPS2|TTV	exostosin glycosyltransferase 1
IRF4	7	LSIRF|MUM1|NF-EM5|SHEP8	interferon regulatory factor 4
CRLF2	7	CRL2|CRLF2Y|TSLPR	cytokine receptor-like factor 2
KMT2C	7	HALR|MLL3	lysine (K)-specific methyltransferase 2C
KDM5C	7	DXS1272E|JARID1C|MRX13|MRXJ|MRXSCJ|MRXSJ|SMCX|XE169	lysine (K)-specific demethylase 5C
ABL2	7	ABLL|ARG	ABL proto-oncogene 2, non-receptor tyrosine kinase
PDCD1	7	CD279|PD-1|PD1|SLEB2|hPD-1|hPD-l|hSLE1	programmed cell death 1
PIK3CD	6	APDS|IMD14|P110DELTA|PI3K|p110D	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta
NUP98	6	ADIR2|NUP196|NUP96	nucleoporin 98kDa
XPA	6	XP1|XPAC	xeroderma pigmentosum, complementation group A
COL1A1	6	EDSC|OI1|OI2|OI3|OI4	collagen, type I, alpha 1
RECQL4	6	RECQ4	RecQ helicase-like 4
FOXP1	6	12CC4|HSPC215|MFH|QRF1|hFKH1B	forkhead box P1
SBDS	6	CGI-97|SDS|SWDS	Shwachman-Bodian-Diamond syndrome
CD79A	6	IGA|MB-1	CD79a molecule
PTGS2	6	COX-2|COX2|GRIPGHS|PGG/HS|PGHS-2|PHS-2|hCox-2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
RHOA	6	ARH12|ARHA|RHO12|RHOH12	ras homolog family member A
TYMS	6	HST422|TMS|TS	thymidylate synthetase
H3F3A	6	H3.3A|H3F3	H3 histone, family 3A
NCOA2	6	GRIP1|KAT13C|NCoA-2|SRC2|TIF2|bHLHe75	nuclear receptor coactivator 2
IKBKE	6	IKK-E|IKK-i|IKKE|IKKI	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon
IRS2	6	IRS-2	insulin receptor substrate 2
CDK2	6	CDKN2|p33(CDK2)	cyclin-dependent kinase 2
MAP3K1	6	MAPKKK1|MEKK|MEKK 1|MEKK1|SRXY6	mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase
BIRC5	6	API4|EPR-1	baculoviral IAP repeat containing 5
PMS1	6	HNPCC3|MLH2|PMSL1|hPMS1	PMS1 homolog 1, mismatch repair system component
TMPRSS2	6	PP9284|PRSS10	transmembrane protease, serine 2
TOP2A	6	TOP2|TP2A	topoisomerase (DNA) II alpha
RAD21	6	CDLS4|HR21|HRAD21|MCD1|NXP1|SCC1|hHR21	RAD21 cohesin complex component
CRKL	6	-	v-crk avian sarcoma virus CT10 oncogene homolog-like
PIK3C2B	6	C2-PI3K	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta
TMEM127	6	-	transmembrane protein 127
